1	58005
2	160383
3	411252
4	594606
5	944320
6	800570
7	369949
8	170993
9	250744
10	151091
11	174291
12	499641
13	517158
14	379332
15	310014
16	400533
17	536121
18	358271
19	356349
20	407157
21	726676
22	490218
23	465036
24	628105
25	596741
26	671160
27	644196
28	755698
29	814036
30	837590
31	1175613
32	888046
33	1058803
34	1020942
35	1074230
36	1237944
37	1178508
38	1324094
39	1585196
40	1553391
41	1645483
42	1653660
43	1638709
44	1658110
45	1776126
46	1840390
47	1931301
48	1972858
49	2160580
50	3190514
51	3574295
52	3212104
53	2823777
54	3583225
55	3553476
56	3753721
57	2940957
58	5275320
59	3487746
60	4048500
61	3792352
62	3868390
63	3923144
64	4117468
65	4109945
66	4244910
67	4494277
68	4878335
69	4772444
70	4725775
71	4529845
72	4726938
73	5358626
74	5234316
75	5411840
76	6019039
77	6676925
78	6293852
79	7138825
80	5644549
81	6654788
82	6797735
83	7318694
84	8471848
85	10410614
86	15218621
87	13720283
88	10479734
