n	k	tiempo
100	1	26219467
100	2	15609647
100	3	11888621
100	4	10545951
100	5	11835968
100	6	13381325
100	7	12748026
100	8	12528685
100	9	12730125
100	10	13847355
100	11	13411069
100	12	14068605
100	13	13978872
100	14	14183645
100	15	14325644
100	16	12874522
100	17	13502757
100	18	14803612
100	19	13804690
100	20	13729640
100	21	14211292
100	22	14080052
100	23	14748912
100	24	16087558
100	25	20105311
