n	k	tiempo
25	1	781791
25	2	587587
25	3	630327
25	4	606631
25	5	569027
25	6	644762
25	7	740821
25	8	675886
25	9	697259
25	10	771769
25	11	825086
25	12	960123
25	13	1309254
25	14	1470935
25	15	1599702
25	16	1908273
25	17	1438511
25	18	1244589
25	19	1393122
25	20	1811310
25	21	1995452
25	22	2110680
25	23	2454959
25	24	2350875
25	25	2374199
