n	k	tiempo
75	1	12747747
75	2	6916064
75	3	7330860
75	4	4838981
75	5	4828979
75	6	4727386
75	7	4704703
75	8	5089405
75	9	4837658
75	10	4853870
75	11	4987662
75	12	4942701
75	13	5096725
75	14	5091162
75	15	5199563
75	16	5256085
75	17	5273458
75	18	5390161
75	19	5576328
75	20	5583494
75	21	5745878
75	22	5922710
75	23	5938362
75	24	6002880
75	25	6245020
