n	k	tiempo
50	1	12856317
50	2	4365132
50	3	4221290
50	4	2513396
50	5	2911652
50	6	2230161
50	7	2159966
50	8	2139268
50	9	2136355
50	10	2250380
50	11	2293084
50	12	2334145
50	13	2340172
50	14	2368862
50	15	2417249
50	16	2581402
50	17	2591736
50	18	2660570
50	19	2701629
50	20	2945605
50	21	3036013
50	22	3117254
50	23	3363773
50	24	3601516
50	25	3736849
